record_type,panel,cluster_ident,subcluster_ident,DNA_DAMAGE_RESPONSE,OXIDATIVE_STRESS,ABNORMAL_REPAIR,KRT14_KRT17_REPAIR,CILIA_CONSENSUS,MULTICILIOGENESIS,MATURE_CILIATED,BASAL_MARKERS,Repair_Cilia_Imbalance,n_donors,dim1,dim2,state_order,group_1,group_0,n_group_1,n_group_0,estimate,std_error,CI95_lower,CI95_upper,statistic,df,p_value,state,estimate_percentage_points,CI95_lower_percentage_points,CI95_upper_percentage_points,FDR
state_score,A-C,Ciliated,Mature.ciliated.B,-0.210616901243841,0.533241918651653,-1.00169513393108,-1.48102465478154,1.70391728005561,1.01294737751,2.14897004760317,-1.45877197533198,-3.82158162508269,11.0,-4.301029011940003,0.0498077243254935,13.0,,,,,,,,,,,,,,,,
state_score,A-C,Differentiating.basal,Differentiating.basal,0.21738286873012,0.178115563978838,-0.234255748864456,0.604408366050228,-0.4093475187287,-0.510915074824037,-0.357706594247316,0.800077967970055,0.0845584865297998,12.0,1.0195935643299594,-0.44005628191897805,5.0,,,,,,,,,,,,,,,,
state_score,A-C,KRT8.high,KRT8.high,-0.247976024907999,0.245061587868411,0.681253978165792,0.330470979708188,-0.522691923828849,-0.477093155118478,-0.353158499756693,0.398670713995168,1.82869489317505,12.0,2.087688694853172,-0.11207476629922572,6.0,,,,,,,,,,,,,,,,
state_score,A-C,KRT8.high,Mature.mucus.secretory,0.217176316290429,0.523573357640305,0.617743289451947,-0.403147815055655,-0.228448219776425,-0.257505514045362,-0.394705994518913,-0.457106887759736,1.3608952073605,1.0,1.4202632749264308,0.5199309698982252,7.0,,,,,,,,,,,,,,,,
state_score,A-C,Mucus.secretory,Mature.mucus.secretory,-0.42605267988513,0.129955614519101,-0.061313886635657,-1.05554651069119,-0.0903529710851075,0.1490529109534,-0.217054490862364,-1.13570992300256,0.0018005401875085,12.0,-0.019198332236598902,0.9855993053197858,7.0,,,,,,,,,,,,,,,,
state_score,A-C,Mucus.secretory,Mucus.secretory,-0.290961681182122,0.333664370272867,0.528989920253119,-0.381440487328816,-0.13510447867235,-0.0819782959679412,-0.153880764910585,-0.40228450753812,1.09207902929818,12.0,1.0452399976736475,0.36074803038502423,8.0,,,,,,,,,,,,,,,,
state_score,A-C,Proliferating.basal,Proliferating.basal,0.49569330692292,-0.141639300413568,0.472303521992792,0.584420716882239,-0.476487865623178,-0.0183326723942895,-0.531098004407779,0.623434730266948,1.40599806159872,12.0,1.7434859143498171,-0.4507974122098813,1.0,,,,,,,,,,,,,,,,
state_score,A-C,Proteasomal.basal,Proteasomal.basal,0.190317653580476,-0.291476633195657,0.110790490602396,1.10967521256294,-0.438454830411789,-0.275661520225155,-0.488257879794603,1.09707897669793,0.725422747682911,12.0,1.575990615461957,-0.9603565955055319,2.0,,,,,,,,,,,,,,,,
state_score,A-C,SMG.basal,SMG.basal.A,0.0739308264952317,-0.430358656644553,-0.0066114731867579,1.04473489474164,-0.244233725264218,-0.312131526997425,-0.288989793309857,0.973352450960549,0.284161427520612,12.0,1.1788569243402733,-0.9956025920403051,3.0,,,,,,,,,,,,,,,,
state_score,A-C,SMG.basal,SMG.basal.B,0.223787733368707,-0.312001211841187,0.378921887876392,0.684896848220559,-0.343054488920331,-0.175863428955529,-0.537533217287326,0.665689030052172,1.08051015450151,8.0,1.6399027289824288,-0.5521704156427468,4.0,,,,,,,,,,,,,,,,
state_score,A-C,SMG.secretory,SMG.secretory,-0.499401776441908,-0.875713787074704,-0.336341359223391,-0.620929199997886,-0.508478570102231,-0.628749016980578,-0.665568223685748,-0.877778908221699,0.0254278495854056,9.0,0.7492972044678484,0.9546295443857562,9.0,,,,,,,,,,,,,,,,
state_score,A-C,Ciliated,Mature.ciliated.A,0.65639321484738,0.398791891262576,-0.837031238938808,-0.921914995390426,1.90199979615607,1.52642529001647,1.85499566202288,-0.855608231236847,-3.77244502104133,8.0,-4.1906342305120114,-0.611674719596877,12.0,,,,,,,,,,,,,,,,
state_score,A-C,Ciliated,Hybrid.secretory.early.ciliating,-0.220366949783781,0.514489220440916,-0.549580366043929,-1.09281032467081,1.47539517526025,2.2493332122281,1.37414577202169,-1.02681975985938,-2.7513034716517,1.0,-3.6957988031201,-0.3538276115059709,11.0,,,,,,,,,,,,,,,,
state_score,A-C,Ionocyte.tuft,Ionocyte,-0.374866287617825,0.0035044084265486,-0.251451036582902,-1.56894074343944,-0.0852125996910474,0.0447094284320892,-0.485943518379987,-1.30566275245609,-0.338147805662687,1.0,-0.25365854157682094,1.6058448204052318,10.0,,,,,,,,,,,,,,,,
composition_effect,D,,,,,,,,,,,,,,,,heavy,never,6.0,6.0,0.0238399989875131,0.0308625415963889,-0.0462366289560767,0.0939166269311029,0.772457411294426,8.78549587030815,0.460118028001724,Basal_repair_transition_combined,2.38399989875131,-4.62366289560767,9.39166269311029,0.717115861042285
composition_effect,D,,,,,,,,,,,,,,,,heavy,never,6.0,6.0,-0.0443499539202656,0.0318661993718458,-0.119173106306357,0.0304731984658259,-1.3917553644458,7.25243555965164,0.205189993980523,Ciliated_all,-4.43499539202656,-11.9173106306357,3.04731984658259,0.479265467209616
